Descrição Fornecedor;Valor total;Classificação;Comprador;Plano de ação;Performance de entrega;Situação
EVOLUCAO COMERCIO DE COMPRESSORES E EQUIPAMENTOS LTDA;R$ 3.966,00;254;Gabriel André Bertram;;100%;
MOGI PLASTICOS LTDA;R$ 3.898,00;255;Gabriel André Bertram;;100%;
VENTRIO EQUIPAMENTOS LTDA;R$ 3.780,00;256;Gabriel André Bertram;;;
POLIMERTEC IND COM DE BORRACHA LTDA;R$ 3.773,00;257;Marcia - Compras;;;
MFAC INDUSTRIA E COMERCIO LTDA - ME;R$ 3.764,00;258;Gabriel André Bertram;;100%;
ELETROTECNICA F.C.LTDA.;R$ 3.752,36;259;Gabriel André Bertram;;97%;
ALTO TORQUE INDUSTRIA COMERCIO E ASSISTENCIA TECNICA LTDA;R$ 3.671,00;260;Gabriel André Bertram;;0%;
PRENSA IND.E COM.DE PECAS LTDA.;R$ 3.621,00;261;Marcia - Compras;;0%;
METALURGICA FERRARI LTDA;R$ 3.600,00;262;Marcia - Compras;;100%;
CREATIVE COPIAS LTDA;R$ 3.575,00;263;Leonardo Pereira Falconeli Dos Santos;;100%;
A4 DISTRIBUIDORA LTDA;R$ 3.522,72;264;Gabriel André Bertram;;83%;
BONDMANN QUIMICA LTDA;R$ 3.500,00;265;Gabriel André Bertram;;100%;
COMERCIO PARAF. FERR. BERTOLDI LTDA;R$ 3.449,98;266;Leonardo Pereira Falconeli Dos Santos;;100%;
DIOGO CESAR KNIESS ME;R$ 3.439,90;267;Leonardo Pereira Falconeli Dos Santos;;100%;
KRAMBECK COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA;R$ 3.399,66;268;Gabriel André Bertram;;100%;
JOAO L. CAVALCANTI;R$ 3.398,00;269;Gibson Ribeiro;;100%;
MANTOVA IND.DE TUBOS PLASTICOS LTDA;R$ 3.375,00;270;Marcia - Compras;;100%;
DISTRIBUIDORA EBENEZER EIRELI;R$ 3.344,70;271;Gabriel André Bertram;;100%;
VALLE PRODUTOS PARA INDUSTRIA LTDA;R$ 3.228,74;272;Gabriel André Bertram;;100%;
DISK GRAMA COMERCIAL LTDA;R$ 3.212,10;273;Leonardo Pereira Falconeli Dos Santos;;100%;
ODAIR JOSE SOARES ASALIM 00146879929;R$ 3.180,00;274;Gabriel André Bertram;;100%;
CAMARGO DISTRIBUIDORA DE PRODUTOS QUIMICOS;R$ 3.125,76;275;Leonardo Pereira Falconeli Dos Santos;;100%;
KAPDIMA COMERCIO E MANUTENCAO E EQUIPAMENTO IND. LTDA;R$ 3.098,00;276;Gabriel André Bertram;;100%;
ADAM DISTRIBUIDORA LTDA;R$ 3.016,30;277;Gabriel André Bertram;;86%;
MTM AUTO CENTER COM. BATERIAS LTDA;R$ 2.955,00;278;Leonardo Pereira Falconeli Dos Santos;;100%;
GRAFICA TIMBO LTDA ME;R$ 2.941,85;279;Gabriel André Bertram;;75%;
FABRICA DAS CONEXOES INDUSTRIA E COMERCIO EIRELI;R$ 2.925,00;280;Marcia - Compras;;100%;
PERFITUBO COMERCIAL EIRELI ;R$ 2.644,20;281;Marcia - Compras;;100%;
SMIERVEDA VEDACOES IND. LTDA;R$ 2.618,95;282;Gabriel André Bertram;;33%;
VERDE VALE SOLUCOES QUIMICAS LTDA;R$ 2.585,60;283;Gabriel André Bertram;;75%;
HS AUTOMACAO INDUSTRIAL LTDA EPP;R$ 2.575,02;284;Leonardo Pereira Falconeli Dos Santos;;93%;
ASTRO TECNOLOGIA IND.COMERCIO LTDA.;R$ 2.568,00;285;Marcia - Compras;;50%;
KIFIX INDUSTRIA E COMERCIO LTDA;R$ 2.554,74;286;Gabriel André Bertram;;100%;
STAM METALURGICA LTDA.;R$ 2.538,00;287;Marcia - Compras;;;
AS PAPEIS E PLASTICOS COM. EIRELI ME;R$ 2.529,90;288;Gabriel André Bertram;;100%;
ACOPAR COMERCIO DE PARAFUSOS LTDA.;R$ 2.527,00;289;Gabriel André Bertram;;100%;
ACQUA GELATA IND. E COM. DE APAR. DE REFRIG. LTDA;R$ 2.500,00;290;Gabriel André Bertram;;0%;
TORMAC SERVICOS DE USINAGENS LTDA;R$ 2.494,00;291;Gabriel André Bertram;;;
CARMEM TAMANINI BEBER COMERCIAL ME;R$ 2.487,00;292;Marcia - Compras;;100%;
ABC DA SOLDA LTDA;R$ 2.470,00;293;Gabriel André Bertram;;50%;
SINDAL S/A.;R$ 2.450,60;294;Marcia - Compras;;100%;
PROSPECTA SOLUCOES LTDA;R$ 2.446,93;295;Leonardo Pereira Falconeli Dos Santos;;100%;
WIFER COMERCIO E REPRESENTACOES LTD;R$ 2.420,00;296;Gabriel André Bertram;;100%;
LUZITECCH INDUSTRIA METALURGICA LTDA;R$ 2.355,84;297;Marcia - Compras;;;
RAUMAK METAL DISTRIBUIDORA LTDA;R$ 2.313,00;298;Marcia - Compras;;100%;
TIMBO RECUPERADORA DE IMPL.RODOV.LT;R$ 2.240,00;299;Gabriel André Bertram;;100%;
SEVEGA COPIAS E PLOTAGENS LTDA ME;R$ 2.204,32;300;Gabriel André Bertram;;0%;
SA ELETRICA INDUSTRIAL LTDA;R$ 2.203,70;301;Gabriel André Bertram;;100%;
HENNINGS VEDACOES HIDRAULICAS LTDA;R$ 2.126,34;302;Marcia - Compras;;100%;
