Pedido;Data Cadastro;Produto;Descrição Produto;Quantidade Compra;Unidade de Compra;Preço Unit. Compra;Fornecedor;Descrição Fornecedor;Situação Pedido;Previsão Entrega Inicial;Previsão Entrega Atual;Comprador;Nome Comprador;Condição Pagamento;Descrição Condição Pagamento;Data Recebimentos;Máscara de Entrada
55215;17/02/2023;1053;Bobina #20 Zn 0,95x1200mm;15.245,00;KG;8;20878;PANATLANTICA CATARINENSE S.A.;Atendido;20/02/2023;20/02/2023;109;Marcia - Compras;12;28/42/56 DIAS;20/02/2023;1.01.02.04.03.00002
55379;28/02/2023;1053;Bobina #20 Zn 0,95x1200mm;12.000,00;KG;7,6;20878;PANATLANTICA CATARINENSE S.A.;Atendido;23/03/2023;23/03/2023;109;Marcia - Compras;12;28/42/56 DIAS;21/03/2023;1.01.02.04.03.00002
56195;28/04/2023;1053;Bobina #20 Zn 0,95x1200mm;6.000,00;KG;7,6;20878;PANATLANTICA CATARINENSE S.A.;Atendido;08/05/2023;08/05/2023;109;Marcia - Compras;12;28/42/56 DIAS;08/05/2023;1.01.02.04.03.00002
56611;31/05/2023;1053;Bobina #20 Zn 0,95x1200mm;12.000,00;KG;7,6;20878;PANATLANTICA CATARINENSE S.A.;Atendido;19/06/2023;19/06/2023;109;Marcia - Compras;12;28/42/56 DIAS;15/06/2023 - 16/06/2023;1.01.02.04.03.00002
57069;30/06/2023;1053;Bobina #20 Zn 0,95x1200mm;12.000,00;KG;7,5;20878;PANATLANTICA CATARINENSE S.A.;Atendido;24/07/2023;24/07/2023;109;Marcia - Compras;12;28/42/56 DIAS;14/07/2023;1.01.02.04.03.00002
57488;28/07/2023;1053;Bobina #20 Zn 0,95x1200mm;18.000,00;KG;7,45;20878;PANATLANTICA CATARINENSE S.A.;Atendido;28/08/2023;28/08/2023;109;Marcia - Compras;12;28/42/56 DIAS;25/08/2023;1.01.02.04.03.00002
58055;29/08/2023;1053;Bobina #20 Zn 0,95x1200mm;24.000,00;KG;7,2;20878;PANATLANTICA CATARINENSE S.A.;Atendido;25/09/2023;25/09/2023;109;Marcia - Compras;12;28/42/56 DIAS;18/09/2023 - 26/09/2023;1.01.02.04.03.00002
59167;31/10/2023;1053;Bobina #20 Zn 0,95x1200mm;24.000,00;KG;7,2;20878;PANATLANTICA CATARINENSE S.A.;Atendido;13/11/2023;10/01/2024;109;Marcia - Compras;12;28/42/56 DIAS;23/11/2023 - 10/01/2024;1.01.02.04.03.00002
59959;19/12/2023;1053;Bobina #20 Zn 0,95x1200mm;12.000,00;KG;7,2;20878;PANATLANTICA CATARINENSE S.A.;Atendido;29/01/2024;29/01/2024;109;Marcia - Compras;12;28/42/56 DIAS;18/01/2024;1.01.02.04.03.00002
54779;20/01/2023;1080;Bobina #24 Pi 0,65x1000mm;3.000,00;KG;13,09;20300;TEKNO S/A. CONSTRUCOES IND. E COM.;Atendido;13/02/2023;13/02/2023;109;Marcia - Compras;9;28/42 DIAS;07/03/2023;1.01.02.05.01.00003
